id;age_years;age_years_full;sex;cb;experimenter;order;condition;trial;obj.pair;consis;hierarchy_dx_coin;hierarchy_x_coin;fb_control;res_c;res_t;c_correct;t_correct
27;5,61643835616438;5;m;CB_01;Joana;acn acn;dual_identity;2;XC;I;1;0;1;right;wind;1;1
27;5,61643835616438;5;m;CB_01;Joana;acn acn;control;1;CX;I;1;0;NA;NA;NA;NA;NA
27;5,61643835616438;5;m;CB_01;Joana;acn acn;control;2;CX;C;1;0;NA;NA;NA;NA;NA
27;5,61643835616438;5;m;CB_01;Joana;acn acn;change_of_location;1;M0;C;1;0;1;left;wind;0;0
27;5,61643835616438;5;m;CB_01;Joana;acn acn;change_of_location;2;M0;I;1;0;1;left;self;0;0
29;7,93424657534247;7;f;CB_03;Joana;acn acn;dual_identity;1;CX;C;1;1;1;left;self;1;1
29;7,93424657534247;7;f;CB_03;Joana;acn acn;dual_identity;2;CX;I;1;1;1;left;wind;1;1
29;7,93424657534247;7;f;CB_03;Joana;acn acn;control;1;CX;I;1;1;NA;left;wind;1;1
29;7,93424657534247;7;f;CB_03;Joana;acn acn;control;2;CX;C;1;1;NA;left;self;1;1
29;7,93424657534247;7;f;CB_03;Joana;acn acn;change_of_location;1;0M;C;1;1;1;right;self;1;1
29;7,93424657534247;7;f;CB_03;Joana;acn acn;change_of_location;2;0M;I;1;1;1;right;wind;1;1
30;6,49315068493151;6;m;CB_04;Joana;acn acn;dual_identity;1;XC;C;0;1;1;NA;NA;NA;NA
30;6,49315068493151;6;m;CB_04;Joana;acn acn;dual_identity;2;XC;I;0;1;1;NA;NA;NA;NA
30;6,49315068493151;6;m;CB_04;Joana;acn acn;control;1;XC;I;0;1;NA;right;wind;1;1
30;6,49315068493151;6;m;CB_04;Joana;acn acn;control;2;XC;C;0;1;NA;right;self;1;1
30;6,49315068493151;6;m;CB_04;Joana;acn acn;change_of_location;1;M0;C;0;1;1;right;wind;1;0
30;6,49315068493151;6;m;CB_04;Joana;acn acn;change_of_location;2;M0;I;0;1;1;right;wind;1;1
31;7,64657534246575;7;m;CB_05;Joana;acn acn;dual_identity;1;XC;C;1;1;1;right;self;1;1
31;7,64657534246575;7;m;CB_05;Joana;acn acn;dual_identity;2;CX;I;1;1;1;left;wind;1;1
31;7,64657534246575;7;m;CB_05;Joana;acn acn;control;1;CX;I;1;1;NA;right;self;0;0
31;7,64657534246575;7;m;CB_05;Joana;acn acn;control;2;XC;C;1;1;NA;right;self;1;1
31;7,64657534246575;7;m;CB_05;Joana;acn acn;change_of_location;1;M0;C;1;1;1;left;self;0;1
31;7,64657534246575;7;m;CB_05;Joana;acn acn;change_of_location;2;0M;I;1;1;1;right;wind;1;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;dual_identity;1;CX;C;1;1;1;right;self;0;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;dual_identity;2;XC;I;1;1;1;right;wind;1;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;control;1;XC;I;1;1;NA;right;wind;1;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;control;2;CX;C;1;1;NA;left;self;1;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;change_of_location;1;0M;C;1;1;1;right;self;1;1
32;6,46575342465753;6;m;CB_06;Joana;acn acn;change_of_location;2;M0;I;1;1;1;left;wind;0;1
