id;age_years;age_years_full;sex;cb;experimenter;order;obj.pair_1_dual_identity;obj.pair_2_dual_identity;obj.pair_1_control;obj.pair_2_control;obj.pair_1_change_of_location;obj.pair_2_change_of_location;consis_1_dual_identity;consis_2_dual_identity;consis_1_control;consis_2_control;consis_1_change_of_location;consis_2_change_of_location;res_c_1_dual_identity;res_c_2_dual_identity;res_c_1_control;res_c_2_control;res_c_1_change_of_location;res_c_2_change_of_location;res_t_1_dual_identity;res_t_2_dual_identity;res_t_1_control;res_t_2_control;res_t_1_change_of_location;res_t_2_change_of_location;c_correct_1_dual_identity;c_correct_2_dual_identity;c_correct_1_control;c_correct_2_control;c_correct_1_change_of_location;c_correct_2_change_of_location;t_correct_1_dual_identity;t_correct_2_dual_identity;t_correct_1_control;t_correct_2_control;t_correct_1_change_of_location;t_correct_2_change_of_location
69;5,35616438356164;5;f;CB_12;Joana;acn acn;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;right;left;right;left;left;left;self;wind;wind;wind;self;wind;0;1;0;1;0;0;0;0;0;1;0;0
70;6,52602739726027;6;m;CB_25;Joana;nca nca;XC;XC;XC;XC;M0;M0;I;C;C;I;I;C;right;left;right;right;left;left;wind;wind;self;wind;wind;self;1;0;1;1;0;0;1;0;1;1;1;1
71;4,39726027397260;4;m;CB_26;Joana;nca nca;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;right;right;left;left;NA;NA;self;wind;self;wind;NA;NA;0;0;1;1;NA;NA;0;0;1;1;NA;NA
74;4,32602739726027;4;m;CB_31;Joana;nca nca;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;right;left;right;left;left;left;self;wind;self;wind;self;wind;0;0;1;1;0;0;0;0;1;1;0;0
75;4,03013698630137;4;m;CB_27;Isa;nca nca;CX;CX;XC;XC;0M;0M;I;C;C;I;I;C;left;left;NA;NA;left;left;wind;wind;NA;NA;self;wind;1;1;NA;NA;0;0;1;0;NA;NA;0;0
76;6,15890410958904;6;f;CB_28;Isa;nca nca;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;right;right;left;left;left;left;wind;self;self;wind;wind;self;1;1;1;1;0;0;1;1;1;1;1;1
77;7,71780821917808;7;m;CB_24;Eva;nca nca;CX;XC;XC;CX;0M;M0;C;I;I;C;C;I;left;right;right;left;right;left;self;wind;wind;self;self;wind;1;1;1;1;1;0;1;1;1;1;1;1
78;6,78356164383562;6;m;CB_23;Eva;nca nca;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;left;right;left;right;self;wind;wind;self;self;wind;1;1;1;1;0;1;1;1;1;1;1;1
79;5,72054794520548;5;f;CB_22;Joana;nca nca;XC;CX;XC;CX;M0;0M;C;I;I;C;C;I;right;left;right;left;left;right;self;wind;wind;self;wind;wind;1;1;1;1;0;1;1;1;1;1;0;1
80;4,05753424657534;4;f;CB_21;Eva;nca nca;CX;XC;CX;XC;0M;M0;C;I;I;C;C;I;right;left;NA;NA;left;right;wind;self;NA;NA;wind;wind;0;0;NA;NA;0;1;0;0;NA;NA;0;1
81;4,33424657534247;4;f;CB_20;Eva;nca nca;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;right;right;left;left;self;self;wind;wind;wind;wind;1;1;1;1;0;0;1;0;1;0;0;1
82;7,67671232876712;7;m;CB_18;Eva;nca nca;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;right;right;left;left;self;wind;wind;self;wind;wind;1;1;1;1;0;0;1;1;1;1;0;1
84;4,23835616438356;4;f;CB_15;Isa;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;NA;NA;right;left;right;left;NA;NA;self;wind;self;wind;NA;NA;1;1;1;0;NA;NA;1;1;0;0
85;7,47397260273973;7;f;CB_14;Isa;acn acn;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;right;left;left;right;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
