n;sim;p;comp.sign;red.null.p;IE.belief.age.p;IE.belief.age.sign;red.null.sign
108;631;4,94341727246699e-03;TRUE;2,04393801737438e-05;3,87791300234157e-03;TRUE;TRUE
108;632;4,01187332418719e-02;TRUE;7,63544124793074e-10;4,33231313291128e-02;TRUE;TRUE
108;633;3,46134679732493e-04;TRUE;4,49773179454908e-04;2,84774246073728e-04;TRUE;TRUE
108;634;3,37762150130704e-04;TRUE;3,34579476192443e-03;3,05056185807967e-04;TRUE;TRUE
108;635;2,02431549245906e-02;TRUE;1,18265844350335e-05;1,74777902036056e-02;TRUE;TRUE
108;636;1,29213180810898e-02;TRUE;1,03965831291959e-07;1,18232571050999e-02;TRUE;TRUE
108;637;4,44367522424363e-04;TRUE;1,10318341523959e-05;6,49446013366589e-04;TRUE;TRUE
108;638;6,12672995930517e-04;TRUE;2,04806426013565e-03;4,34613646067866e-04;TRUE;TRUE
108;639;1,33690196142310e-01;FALSE;7,48383889211843e-07;1,17361394194724e-01;FALSE;TRUE
108;640;4,79135811622641e-03;TRUE;3,47562904423762e-07;4,61192533161961e-03;TRUE;TRUE
108;641;2,81058924706381e-02;TRUE;5,28701437669924e-07;2,65393358854358e-02;TRUE;TRUE
108;642;1,55229059923465e-03;TRUE;1,43018972736692e-05;9,87731065732268e-04;TRUE;TRUE
108;643;6,59806139651120e-05;TRUE;5,73566980026728e-07;7,55233376670705e-05;TRUE;TRUE
108;644;2,96441519910665e-06;TRUE;8,75286819519028e-03;4,66439346957185e-06;TRUE;TRUE
108;645;1,19896064729009e-01;FALSE;1,01788604853942e-06;0,00000000000000e+00;TRUE;TRUE
108;646;3,88142061248761e-04;TRUE;1,09077759516484e-02;4,46402816983484e-04;TRUE;TRUE
108;647;2,63666801128986e-03;TRUE;1,94916801962516e-04;0,00000000000000e+00;TRUE;TRUE
108;648;2,56723068097130e-05;TRUE;5,09511766698740e-04;1,12025855606923e-04;TRUE;TRUE
108;649;2,70350908419672e-02;TRUE;2,91601913894756e-06;2,82623549530129e-02;TRUE;TRUE
108;650;9,12461001063353e-01;FALSE;8,25566412163923e-06;9,12462618161395e-01;FALSE;TRUE
