id;age_years;cb;objects_1;objects_2;objects_3;objects_4;c_i_1;c_i_2;c_i_3;c_i_4;res_c_1;res_c_2;res_c_3;res_c_4;res_t_1;res_t_2;res_t_3;res_t_4;c_correct_1;c_correct_2;c_correct_3;c_correct_4;t_correct_1;t_correct_2;t_correct_3;t_correct_4;fam_dropout;fam_count
144;4,73698630136986;CB_13;CD;CX;CD;CX;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
145;6,42739726027397;CB_17;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
146;6,00819672131148;CB_29;CD;CX;CD;CX;C;I;I;C;right;left;right;left;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
149;7,89863013698630;CB_30;XC;DC;XC;DC;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
150;5,34246575342466;CB_01;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
152;5,04371584699454;CB_02;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
153;4,80547945205479;CB_03;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
154;6,31780821917808;CB_04;XC;DC;XC;DC;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
155;6,03278688524590;CB_07;DC;XC;DC;XC;C;I;I;C;left;right;left;right;self;wind;wind;self;1;1;1;1;1;1;1;1;no;8
156;7,86849315068493;CB_10;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;self;wind;wind;1;1;1;1;1;1;0;1;yes;7
157;6,41369863013699;CB_13;CD;CX;CD;CX;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
158;5,22739726027397;CB_17;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
159;5,54794520547945;CB_19;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;self;self;wind;1;1;1;1;1;1;1;1;no;8
161;7,07377049180328;CB_29;CD;CX;CD;CX;C;I;I;C;right;left;right;left;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
162;7,36986301369863;CB_25;DC;XC;DC;XC;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
163;4,43287671232877;CB_02;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
164;7,23561643835616;CB_03;CD;CX;CD;CX;I;C;C;I;right;left;right;left;wind;NA;self;wind;1;1;1;1;1;NA;1;1;no;7
165;4,12841530054645;CB_05;CD;CX;CD;CX;C;I;I;C;left;left;right;left;wind;wind;wind;self;0;1;1;1;0;1;1;1;no;6
167;7,69315068493151;CB_08;CX;CD;CX;CD;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
168;5,46575342465753;CB_07;DC;XC;DC;XC;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
169;5,17808219178082;CB_08;CX;CD;CX;CD;C;I;I;C;left;right;left;right;wind;wind;wind;self;1;1;1;1;0;1;1;1;no;7
170;7,40821917808219;CB_10;CX;CD;CX;CD;I;C;C;I;left;right;left;right;wind;wind;self;wind;1;1;1;1;1;0;1;1;no;7
