id;age_years;cb;trial;objects;c_i;res_c;res_t;c_correct;t_correct
79;5,72054794520548;CB_22;2;DC;I;left;wind;1;1
79;5,72054794520548;CB_22;3;XC;I;right;wind;1;1
79;5,72054794520548;CB_22;4;DC;C;left;self;1;1
80;4,05753424657534;CB_21;1;CD;C;right;wind;1;0
80;4,05753424657534;CB_21;2;CX;I;left;self;1;0
80;4,05753424657534;CB_21;3;CD;I;right;wind;1;1
80;4,05753424657534;CB_21;4;CX;C;left;self;1;1
81;4,33424657534247;CB_20;1;XC;I;right;wind;1;1
81;4,33424657534247;CB_20;2;DC;C;left;self;1;1
81;4,33424657534247;CB_20;3;XC;C;right;self;1;1
81;4,33424657534247;CB_20;4;DC;I;left;wind;1;1
82;7,67671232876712;CB_18;1;CX;I;left;wind;1;1
82;7,67671232876712;CB_18;2;CD;C;right;wind;1;0
82;7,67671232876712;CB_18;3;CX;C;left;self;1;1
82;7,67671232876712;CB_18;4;CD;I;right;wind;1;1
83;5,43287671232877;CB_17;1;DC;I;left;wind;1;1
83;5,43287671232877;CB_17;2;XC;C;left;wind;0;0
83;5,43287671232877;CB_17;3;DC;C;right;self;0;1
83;5,43287671232877;CB_17;4;XC;I;right;self;1;0
84;4,23835616438356;CB_15;1;DC;C;left;wind;1;0
84;4,23835616438356;CB_15;2;XC;I;right;wind;1;1
84;4,23835616438356;CB_15;3;DC;I;left;wind;1;1
84;4,23835616438356;CB_15;4;XC;C;right;self;1;1
85;7,47397260273973;CB_14;1;XC;C;right;wind;1;0
85;7,47397260273973;CB_14;2;DC;I;left;wind;1;1
85;7,47397260273973;CB_14;3;XC;I;right;wind;1;1
85;7,47397260273973;CB_14;4;DC;C;left;self;1;1
86;4,58630136986301;CB_13;1;CD;C;right;wind;1;0
86;4,58630136986301;CB_13;2;CX;I;left;wind;1;1
86;4,58630136986301;CB_13;3;CD;I;right;wind;1;1
86;4,58630136986301;CB_13;4;CX;C;left;self;1;1
87;4,62739726027397;CB_11;1;CD;I;right;wind;1;1
87;4,62739726027397;CB_11;2;CX;C;left;self;1;1
87;4,62739726027397;CB_11;3;CD;C;right;self;1;1
87;4,62739726027397;CB_11;4;CX;I;left;wind;1;1
88;6,60821917808219;CB_09;1;DC;I;left;wind;1;1
88;6,60821917808219;CB_09;2;XC;C;right;self;1;1
88;6,60821917808219;CB_09;3;DC;C;left;self;1;1
88;6,60821917808219;CB_09;4;XC;I;right;wind;1;1
89;4,15616438356164;CB_08;1;CX;C;right;wind;0;0
89;4,15616438356164;CB_08;2;CD;I;left;wind;0;1
89;4,15616438356164;CB_08;3;CX;I;left;wind;1;1
89;4,15616438356164;CB_08;4;CD;C;right;self;1;1
90;5,28493150684931;CB_06;1;XC;C;right;wind;1;0
90;5,28493150684931;CB_06;2;DC;I;left;self;1;0
90;5,28493150684931;CB_06;3;XC;I;right;wind;1;1
90;5,28493150684931;CB_06;4;DC;C;left;self;1;1
91;7,49863013698630;CB_05;1;CD;C;right;wind;1;0
91;7,49863013698630;CB_05;2;CX;I;left;wind;1;1
91;7,49863013698630;CB_05;3;CD;I;right;wind;1;1
91;7,49863013698630;CB_05;4;CX;C;left;self;1;1
92;4,70684931506849;CB_03;1;CD;I;right;wind;1;1
92;4,70684931506849;CB_03;2;CX;C;left;self;1;1
92;4,70684931506849;CB_03;3;CD;C;right;self;1;1
92;4,70684931506849;CB_03;4;CX;I;left;wind;1;1
93;6,66849315068493;CB_16;1;CX;C;left;wind;1;0
93;6,66849315068493;CB_16;2;CD;I;right;wind;1;1
93;6,66849315068493;CB_16;3;CX;I;left;wind;1;1
93;6,66849315068493;CB_16;4;CD;C;right;self;1;1
94;6,79726027397260;CB_10;1;CX;I;left;wind;1;1
94;6,79726027397260;CB_10;2;CD;C;right;self;1;1
94;6,79726027397260;CB_10;3;CX;C;left;self;1;1
94;6,79726027397260;CB_10;4;CD;I;right;wind;1;1
95;6,21369863013699;CB_30;1;XC;C;right;self;1;1
95;6,21369863013699;CB_30;2;DC;I;left;wind;1;1
95;6,21369863013699;CB_30;3;XC;I;right;wind;1;1
95;6,21369863013699;CB_30;4;DC;C;left;self;1;1
96;7,95616438356164;CB_12;1;XC;I;right;wind;1;1
96;7,95616438356164;CB_12;2;DC;C;left;self;1;1
96;7,95616438356164;CB_12;3;XC;C;right;self;1;1
96;7,95616438356164;CB_12;4;DC;I;left;wind;1;1
97;7,34520547945205;CB_29;1;CD;C;right;self;1;1
97;7,34520547945205;CB_29;2;CX;I;left;wind;1;1
97;7,34520547945205;CB_29;3;CD;I;right;wind;1;1
97;7,34520547945205;CB_29;4;CX;C;left;self;1;1
98;4,40000000000000;CB_17;1;DC;I;left;wind;1;1
98;4,40000000000000;CB_17;2;XC;C;right;wind;1;0
98;4,40000000000000;CB_17;3;DC;C;left;self;1;1
98;4,40000000000000;CB_17;4;XC;I;right;wind;1;1
99;4,92054794520548;CB_13;1;CD;C;right;self;1;1
99;4,92054794520548;CB_13;2;CX;I;left;wind;1;1
99;4,92054794520548;CB_13;3;CD;I;right;wind;1;1
99;4,92054794520548;CB_13;4;CX;C;left;self;1;1
100;6,64383561643836;CB_01;1;DC;I;left;wind;1;1
100;6,64383561643836;CB_01;2;XC;C;right;wind;1;0
100;6,64383561643836;CB_01;3;DC;C;left;wind;1;0
100;6,64383561643836;CB_01;4;XC;I;right;wind;1;1
101;4,50684931506849;CB_01;1;CX;I;left;wind;1;1
101;4,50684931506849;CB_01;2;CD;C;right;wind;1;0
101;4,50684931506849;CB_01;3;CX;C;left;wind;1;0
101;4,50684931506849;CB_01;4;CD;I;right;self;1;0
102;6,09589041095890;CB_04;1;XC;I;right;wind;1;1
102;6,09589041095890;CB_04;2;DC;C;left;self;1;1
102;6,09589041095890;CB_04;3;XC;C;right;self;1;1
102;6,09589041095890;CB_04;4;DC;I;right;self;0;0
103;4,39452054794521;CB_05;1;CD;C;left;wind;0;0
103;4,39452054794521;CB_05;2;CX;I;left;wind;1;1
103;4,39452054794521;CB_05;3;CD;I;right;wind;1;1
103;4,39452054794521;CB_05;4;CX;C;right;wind;0;0
104;6,43013698630137;CB_06;1;XC;C;right;wind;1;0
104;6,43013698630137;CB_06;2;DC;I;left;wind;1;1
104;6,43013698630137;CB_06;3;XC;I;right;wind;1;1
104;6,43013698630137;CB_06;4;DC;C;left;self;1;1
105;4,96164383561644;CB_06;1;DC;C;NA;NA;NA;NA
105;4,96164383561644;CB_06;2;XC;I;right;wind;1;1
105;4,96164383561644;CB_06;3;DC;I;left;wind;1;1
105;4,96164383561644;CB_06;4;XC;C;right;self;1;1
106;6,40821917808219;CB_08;1;CX;C;left;wind;1;0
106;6,40821917808219;CB_08;2;CD;I;left;wind;0;1
106;6,40821917808219;CB_08;3;CX;I;left;wind;1;1
106;6,40821917808219;CB_08;4;CD;C;right;self;1;1
107;7,88493150684932;CB_09;1;DC;I;left;wind;1;1
107;7,88493150684932;CB_09;2;XC;C;right;self;1;1
107;7,88493150684932;CB_09;3;DC;C;left;self;1;1
107;7,88493150684932;CB_09;4;XC;I;right;wind;1;1
108;5,50410958904110;CB_11;1;CD;I;right;self;1;0
108;5,50410958904110;CB_11;2;CX;C;left;self;1;1
108;5,50410958904110;CB_11;3;CD;C;right;self;1;1
108;5,50410958904110;CB_11;4;CX;I;left;wind;1;1
109;4,63287671232877;CB_14;1;XC;C;right;wind;1;0
109;4,63287671232877;CB_14;2;DC;I;left;wind;1;1
109;4,63287671232877;CB_14;3;XC;I;right;wind;1;1
109;4,63287671232877;CB_14;4;DC;C;left;self;1;1
110;4,11506849315068;CB_15;1;DC;C;left;self;1;1
110;4,11506849315068;CB_15;2;XC;I;left;self;0;0
110;4,11506849315068;CB_15;3;DC;I;left;self;1;0
110;4,11506849315068;CB_15;4;XC;C;right;self;1;1
111;4,36986301369863;CB_18;1;CX;I;right;wind;0;1
111;4,36986301369863;CB_18;2;CD;C;right;wind;1;0
111;4,36986301369863;CB_18;3;CX;C;left;wind;1;0
111;4,36986301369863;CB_18;4;CD;I;left;self;0;0
112;5,36712328767123;CB_18;1;CX;I;left;wind;1;1
112;5,36712328767123;CB_18;2;CD;C;right;wind;1;0
112;5,36712328767123;CB_18;3;CX;C;left;self;1;1
112;5,36712328767123;CB_18;4;CD;I;right;wind;1;1
113;4,15068493150685;CB_19;1;CD;I;right;NA;1;NA
113;4,15068493150685;CB_19;2;CX;C;right;wind;0;0
113;4,15068493150685;CB_19;3;CD;C;right;wind;1;0
